job_title,category,experience_level,location,remote,salary_range,skills_required
Backend Developer,IT,Lead,Berlin,Yes,$40k-$60k,"Python, SQL, Java"
Digital Marketing Analyst,Marketing,Entry,Cairo,No,$60k-$100k,"PR, Communication, Strategy"
Backend Developer,IT,Mid,Dubai,Yes,$60k-$100k,"AWS, Docker, Kubernetes"
Therapist,Healthcare,Entry,Toronto,Yes,$40k-$60k,"Patient Care, Nursing"
Frontend Developer,IT,Lead,New York,No,$40k-$60k,"AWS, Docker, Kubernetes"
Professor,Education,Lead,New York,Yes,$70k-$120k,"Academic Research, Writing"
Risk Manager,Finance,Senior,Cairo,Yes,$70k-$120k,"Budgeting, Forecasting"
School Principal,Education,Mid,Toronto,Yes,$40k-$60k,"Special Education, Mentoring"
DevOps Engineer,IT,Lead,London,No,$40k-$60k,"AWS, Docker, Kubernetes"
Radiologist,Healthcare,Mid,Cairo,No,$50k-$80k,"Therapy, Rehabilitation, Counseling"
Medical Lab Technician,Healthcare,Senior,Tokyo,Yes,$70k-$120k,"Lab Testing, Analysis"
School Principal,Education,Entry,Berlin,Yes,$50k-$80k,"Academic Research, Writing"
Social Media Manager,Marketing,Lead,Dubai,No,$40k-$60k,"SEO, Content Writing, Social Media"
Radiologist,Healthcare,Mid,Sydney,No,$60k-$100k,"Lab Testing, Analysis"
Tax Consultant,Finance,Mid,Dubai,Yes,$50k-$80k,"Excel, Accounting, Finance Modeling"
System Administrator,IT,Mid,Sydney,No,$70k-$120k,"Machine Learning, AI, NLP"
Budget Analyst,Finance,Lead,Cairo,Yes,$40k-$60k,"Investment Analysis, Risk Management"
Tax Consultant,Finance,Senior,Tokyo,No,$70k-$120k,"Investment Analysis, Risk Management"
Education Coordinator,Education,Mid,Toronto,No,$60k-$100k,"Academic Research, Writing"
Radiologist,Healthcare,Mid,Sydney,No,$40k-$60k,"Patient Care, Nursing"
Portfolio Manager,Finance,Entry,Dubai,No,$50k-$80k,"Investment Analysis, Risk Management"
Backend Developer,IT,Entry,Toronto,Yes,$50k-$80k,"React, Node.js, DevOps"
Accountant,Finance,Senior,New York,Yes,$50k-$80k,"Budgeting, Forecasting"
Financial Analyst,Finance,Lead,Berlin,No,$40k-$60k,"Investment Analysis, Risk Management"
SEO Specialist,Marketing,Entry,New York,No,$40k-$60k,"Digital Marketing, Ads, Campaigns"
Financial Analyst,Finance,Lead,New York,Yes,$40k-$60k,"Auditing, Compliance"
Special Education Teacher,Education,Senior,Dubai,Yes,$50k-$80k,"Lesson Planning, Advising"
Academic Advisor,Education,Entry,Cairo,Yes,$50k-$80k,"Lesson Planning, Advising"
Portfolio Manager,Finance,Entry,Sydney,Yes,$70k-$120k,"Investment Analysis, Risk Management"
Project Engineer,Engineering,Entry,Tokyo,No,$70k-$120k,"Quality Control, Testing"
Risk Manager,Finance,Lead,Sydney,No,$70k-$120k,"Excel, Accounting, Finance Modeling"
Curriculum Developer,Education,Mid,Sydney,Yes,$70k-$120k,"Special Education, Mentoring"
Process Engineer,Engineering,Senior,Dubai,Yes,$50k-$80k,"Process Optimization, Analysis"
Product Marketer,Marketing,Mid,London,No,$70k-$120k,"SEO, Content Writing, Social Media"
Academic Advisor,Education,Lead,Sydney,No,$60k-$100k,"Teaching, Curriculum Development"
Cloud Architect,IT,Senior,New York,No,$70k-$120k,"Machine Learning, AI, NLP"
Data Scientist,IT,Mid,Berlin,No,$60k-$100k,"AWS, Docker, Kubernetes"
Civil Engineer,Engineering,Lead,Cairo,No,$40k-$60k,"CAD, Design, Project Management"
Portfolio Manager,Finance,Senior,New York,Yes,$40k-$60k,"Investment Analysis, Risk Management"
